,cas,smiles,logs,mol,logp,molwt,balabanj,tpsa
0,60-35-5,CC(N)=O,1.58,<rdkit.Chem.rdchem.Mol object at 0x000001E94C2C6440>,-0.5084000000000002,59.068,2.8030394876740514,43.09
1,60-34-4,CNN,1.34,<rdkit.Chem.rdchem.Mol object at 0x000001E94C2C6490>,-0.9205000000000001,46.073,1.6329931618554523,38.05
2,64-19-7,CC(O)=O,1.22,<rdkit.Chem.rdchem.Mol object at 0x000001E94C2C64E0>,0.09089999999999993,60.05200000000001,2.8030394876740514,37.3
3,123-75-1,C1CCCN1,1.15,<rdkit.Chem.rdchem.Mol object at 0x000001E94C2C6530>,0.36979999999999996,71.12299999999999,2.083333333333333,12.03
4,127-07-1,NC([NH]O)=O,1.12,<rdkit.Chem.rdchem.Mol object at 0x000001E94C2C6580>,-0.9561,76.055,2.8473789230876716,75.35
5,56-81-5,OC(CO)CO,1.12,<rdkit.Chem.rdchem.Mol object at 0x000001E94C2C65D0>,-1.6681000000000001,92.094,2.7541847860376616,60.69
6,127-19-5,CC(N(C)C)=O,1.11,<rdkit.Chem.rdchem.Mol object at 0x000001E94C2C6620>,0.09450000000000003,87.12199999999999,3.2575861612334887,20.310000000000002
7,289-80-5,c1cccnn1,1.1,<rdkit.Chem.rdchem.Mol object at 0x000001E94C2C6670>,0.4765999999999999,80.09,3.000000000000001,25.78
8,289-95-2,c1ccncn1,1.1,<rdkit.Chem.rdchem.Mol object at 0x000001E94C2C66C0>,0.47659999999999986,80.08999999999999,3.000000000000001,25.78
9,50-70-4,OC(CO)C(O)C(O)C(O)CO,1.09,<rdkit.Chem.rdchem.Mol object at 0x000001E94C2C6710>,-3.5854000000000004,182.17199999999997,3.9851644508585786,121.38000000000001
10,541-48-0,CC(N)CC(O)=O,1.08,<rdkit.Chem.rdchem.Mol object at 0x000001E94C2C6760>,-0.19170000000000004,103.12099999999998,3.126006652390634,63.32
11,110-85-0,C1CNCCN1,1.07,<rdkit.Chem.rdchem.Mol object at 0x000001E94C2C67B0>,-0.8208,86.138,2.0,24.06
12,110-89-4,C1CCCCN1,1.07,<rdkit.Chem.rdchem.Mol object at 0x000001E94C2C6800>,0.7599,85.15,2.0,12.03
13,626-64-2,Oc1ccncc1,1.02,<rdkit.Chem.rdchem.Mol object at 0x000001E94C2C6850>,0.7871999999999999,95.10099999999998,3.0214653097240864,33.120000000000005
14,72762-00-6,Oc1ncccc1,1.02,<rdkit.Chem.rdchem.Mol object at 0x000001E94C2C68A0>,0.7871999999999999,95.10099999999998,3.0214653097240864,33.120000000000005
15,110-94-1,OC(CCCC(O)=O)=O,1.0,<rdkit.Chem.rdchem.Mol object at 0x000001E94C2C68F0>,0.3259,132.11499999999998,3.1028259423155777,74.6
16,109-02-4,CN1CCOCC1,1.0,<rdkit.Chem.rdchem.Mol object at 0x000001E94C2C6940>,-0.05160000000000009,101.149,2.1229179499593664,12.47
17,598-55-0,NC(OC)=O,0.97,<rdkit.Chem.rdchem.Mol object at 0x000001E94C2C6990>,-0.2885,75.067,2.8473789230876716,52.32
18,694-85-9,O=C(C=CC=C1)N1C,0.96,<rdkit.Chem.rdchem.Mol object at 0x000001E94C2C69E0>,0.3853,109.128,3.34660739086912,22.0
19,79-11-8,OC(CCl)=O,0.93,<rdkit.Chem.rdchem.Mol object at 0x000001E94C2C6A30>,0.30979999999999996,94.49699999999999,2.8473789230876716,37.3
20,51-79-6,NC(OCC)=O,0.85,<rdkit.Chem.rdchem.Mol object at 0x000001E94C2C6A80>,0.10159999999999991,89.094,2.831257109931365,52.32
21,63-75-2,O=C(C1=CCCN(C)C1)OC,0.81,<rdkit.Chem.rdchem.Mol object at 0x000001E94C2C6AD0>,0.4213,155.197,2.573324204324121,29.540000000000003
22,108-46-3,Oc1cc(O)ccc1,0.81,<rdkit.Chem.rdchem.Mol object at 0x000001E94C2C6B20>,1.0977999999999999,110.11199999999997,3.077660437970554,40.46
23,110-86-1,c1cnccc1,0.76,<rdkit.Chem.rdchem.Mol object at 0x000001E94C2C6B70>,1.0816,79.10199999999999,3.000000000000001,12.89
24,109-07-9,CC1CNCCN1,0.74,<rdkit.Chem.rdchem.Mol object at 0x000001E94C2C6BC0>,-0.4323000000000001,100.165,2.1229179499593664,24.06
25,@57-48-7,O1CC(O)C(O)C(O)C1(O)CO,0.64,<rdkit.Chem.rdchem.Mol object at 0x000001E94C2C6C10>,-3.2197999999999998,180.15599999999998,2.705837489211811,110.38000000000001
